cohort,name,project,intervention,documentation-url,entry-date,start-date,end-date,description,notes
BOPS-Discovery,Back Office Planning System (Discovery),open-digital-planning,software,https://www.localdigital.gov.uk/funded-project/user-centred-back-office-planning-system-to-unlock-transformation/,,2018-12-01,2019-04-01,,
RIPA-Alpha,Reducing Invalid Planning Applications (Alpha),open-digital-planning,software,https://www.localdigital.gov.uk/funded-project/reducing-invalid-planning-applications/,,2019-10-31,2020-04-01,,
BOPS-Alpha,Back Office Planning System (Alpha),open-digital-planning,software,https://www.localdigital.gov.uk/funded-project/user-centred-back-office-planning-system/,,2018-12-07,2020-02-01,,
RIPA-Beta,Reducing Invalid Planning Applications (Beta),open-digital-planning,software,https://www.localdigital.gov.uk/funded-project/reducing-invalid-planning-applications-ripa/,,2020-03-01,,,
BOPS-Beta,Back Office Planning System (Beta),open-digital-planning,software,https://www.localdigital.gov.uk/funded-project/back-office-planning-system/,,2020-03-01,2022-02-01,,
RIPA-BOPS,Modernising planning software,open-digital-planning,software,https://dluhcdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,,2022-01-21,,,
ODP-Track1,Planning Software Improvement Fund (Track 1),open-digital-planning,software,https://www.localdigital.gov.uk/digital-planning/digital-planning-software/funding/,,2023-03-01,,,
ODP-Track2,Planning Software Improvement Fund (Track 2),open-digital-planning,integration,https://www.localdigital.gov.uk/digital-planning/digital-planning-software/funding/,,2023-03-01,,,
ODP-Track3,Planning Software Improvement Fund (Track 3),open-digital-planning,integration,https://www.localdigital.gov.uk/digital-planning/digital-planning-software/funding/,,2023-03-01,,,
ODP-Track4,Digital Planning Improvement Fund: Round 2,open-digital-planning,improvement,https://www.localdigital.gov.uk/digital-planning/funding/digital-planning-programme-funding-2023/,,2024-02-27,,,
odp-round-3,Digital Planning Improvement Fund: Round 3,open-digital-planning,improvement,https://mhclgdigital.blog.gov.uk/2025/03/18/funding-boost-to-support-digital-planning-innovation/,,2025-02-28,,,
odp-development-management-software,Development Management Software Funding,open-digital-planning,integration,https://mhclgdigital.blog.gov.uk/2025/03/18/funding-boost-to-support-digital-planning-innovation/,,2025-02-28,,,
local-plans-pathfinders,Local Plans Pathfinders Fund (2021),local-plans,plan-making,https://www.gov.uk/government/publications/local-plan-pathfinders-expressions-of-interest,2021-03-01,2021-08-13,,,
proptech-round-1,PropTech Innovation Fund Round 1,proptech,innovation,https://www.localdigital.gov.uk/digital-planning/proptech/funding/,,2021-10-01,,"Increase the use of digital engagement within the planning process and work towards identifying and resolving barriers to adoption.",
proptech-round-2,PopTech Innovation Fund Round 2,proptech,innovation,https://www.localdigital.gov.uk/digital-planning/proptech/funding/,,2022-03-01,,,
proptech-round-3,PropTech Innovation Fund Round 3 PropTech Fund,proptech,innovation,https://www.localdigital.gov.uk/digital-planning/proptech/funding/,,2023-03-01,,,
proptech-round-4,PropTech Innovation Fund Round 4,proptech,innovation,https://www.localdigital.gov.uk/digital-planning/proptech/funding/,,2024-02-01,,,
LGD-Member,Localgov Drupal Member,localgov-drupal,,https://localgovdrupal.org/community/our-councils#Members,,,,,
LGD-Subscriber,Localgov Drupal Subscriber,localgov-drupal,,https://localgovdrupal.org/community/our-councils#Subscribers,,,,,
LGD-Contributor,Localgov Drupal Contributor,localgov-drupal,,https://localgovdrupal.org/community/our-councils#Contributors,,,,,
